t,EnsembleEAnnealingUpdateAll,eAnnealing,Naive3,eGreedy0.1,EnsembleEAnnealing,EnsembleSoftmax,Softmax0.1,Random,EXP30.5,UCB1,EnsembleRandom,
2700,,0.0000199270,0.0000196840,0.0000148374,0.0000159040,0.0000717709,0.0001534215,0.0000207834,0.0000226401,0.0000000000,0.0000242693,
2800,,0.0000194451,0.0000189249,0.0000144463,0.0000151794,0.0000750319,0.0001559227,0.0000194331,0.0000219167,0.0000000000,0.0000214001,
2900,,0.0000182105,0.0000186955,0.0000134922,0.0000144439,0.0000739207,0.0001575450,0.0000184120,0.0000197268,0.0000000000,0.0000212644,
3000,,0.0000185115,0.0000179293,0.0000120935,0.0000143396,0.0000721211,0.0001522959,0.0000172607,0.0000198558,0.0000000000,0.0000200826,
3100,,0.0000180077,0.0000169617,0.0000100489,0.0000141408,0.0000739168,0.0001501473,0.0000161811,0.0000202491,0.0000000000,0.0000198169,
3200,,0.0000170774,0.0000165984,0.0000088289,0.0000143740,0.0000765618,0.0001485936,0.0000149009,0.0000196196,0.0000000000,0.0000187093,
3300,,0.0000178307,0.0000170481,0.0000084669,0.0000149679,0.0000795608,0.0001467349,0.0000152249,0.0000188578,0.0000000000,0.0000180432,
3400,,0.0000184460,0.0000177341,0.0000088251,0.0000137912,0.0000798250,0.0001445516,0.0000152571,0.0000180743,0.0000000000,0.0000185040,
3500,,0.0000172630,0.0000181280,0.0000089139,0.0000143001,0.0000814199,0.0001387809,0.0000153113,0.0000170732,0.0000000000,0.0000178332,
3600,,0.0000160113,0.0000179347,0.0000099484,0.0000136188,0.0000825021,0.0001405090,0.0000150278,0.0000162108,0.0000000000,0.0000196052,
3700,,0.0000156100,0.0000175132,0.0000097825,0.0000141770,0.0000802333,0.0001384313,0.0000141904,0.0000163337,0.0000000000,0.0000185201,
3800,,0.0000151580,0.0000184735,0.0000087653,0.0000147738,0.0000800882,0.0001380420,0.0000132678,0.0000161199,0.0000000000,0.0000184437,
3900,,0.0000147556,0.0000175252,0.0000081848,0.0000156143,0.0000789728,0.0001364949,0.0000130231,0.0000144867,0.0000000000,0.0000171243,
4000,,0.0000138619,0.0000175768,0.0000075603,0.0000156902,0.0000778506,0.0001401370,0.0000127027,0.0000141490,0.0000000000,0.0000171058,
4100,,0.0000140824,0.0000169616,0.0000071070,0.0000151531,0.0000762939,0.0001384890,0.0000123212,0.0000130396,0.0000000000,0.0000169839,
4200,,0.0000137972,0.0000168868,0.0000072920,0.0000147341,0.0000751319,0.0001376157,0.0000126317,0.0000128054,0.0000000000,0.0000179516,
4300,,0.0000132147,0.0000166430,0.0000080838,0.0000139755,0.0000758037,0.0001360498,0.0000118044,0.0000118674,0.0000000000,0.0000177299,
4400,,0.0000128859,0.0000168221,0.0000079209,0.0000130093,0.0000748679,0.0001387524,0.0000119790,0.0000118072,0.0000000000,0.0000172392,
4500,,0.0000127661,0.0000162007,0.0000078018,0.0000139355,0.0000755872,0.0001413307,0.0000119867,0.0000105798,0.0000000000,0.0000175954,
4600,,0.0000128338,0.0000149253,0.0000072867,0.0000120821,0.0000776037,0.0001431802,0.0000116314,0.0000111845,0.0000000000,0.0000171988,
4700,,0.0000120478,0.0000145110,0.0000072830,0.0000113148,0.0000745598,0.0001453728,0.0000115718,0.0000109918,0.0000000000,0.0000181646,
4800,,0.0000113565,0.0000140927,0.0000072722,0.0000116120,0.0000723281,0.0001451859,0.0000112819,0.0000108372,0.0000000000,0.0000188047,
4900,,0.0000105026,0.0000133806,0.0000065915,0.0000111479,0.0000715281,0.0001453227,0.0000113800,0.0000107489,0.0000000000,0.0000182414,
5000,,0.0000106126,0.0000137112,0.0000068725,0.0000108237,0.0000707464,0.0001434126,0.0000113688,0.0000099572,0.0000000000,0.0000198003,
5100,,0.0000095069,0.0000131371,0.0000063859,0.0000109454,0.0000710691,0.0001411493,0.0000111555,0.0000098739,0.0000000000,0.0000196908,
5200,,0.0000089067,0.0000125648,0.0000066000,0.0000107911,0.0000703479,0.0001396405,0.0000110751,0.0000100019,0.0000000000,0.0000181727,
5300,,0.0000089173,0.0000128555,0.0000063378,0.0000103655,0.0000690332,0.0001394343,0.0000108972,0.0000095244,0.0000000000,0.0000177771,
5400,,0.0000088901,0.0000116464,0.0000064312,0.0000103507,0.0000671179,0.0001384385,0.0000102834,0.0000089946,0.0000000000,0.0000179118,
5500,,0.0000083512,0.0000102705,0.0000061661,0.0000096415,0.0000644476,0.0001357067,0.0000101524,0.0000087448,0.0000000000,0.0000171490,
5600,,0.0000077281,0.0000099650,0.0000060911,0.0000101954,0.0000636313,0.0001333003,0.0000101601,0.0000084899,0.0000000000,0.0000163504,
5700,,0.0000078876,0.0000104276,0.0000057305,0.0000106892,0.0000629026,0.0001311509,0.0000101217,0.0000086857,0.0000000000,0.0000157975,
5800,,0.0000078698,0.0000102888,0.0000060026,0.0000103894,0.0000639082,0.0001327181,0.0000099987,0.0000088452,0.0000000000,0.0000154857,
5900,,0.0000074800,0.0000095317,0.0000058343,0.0000102033,0.0000635912,0.0001319919,0.0000097565,0.0000088943,0.0000000000,0.0000153163,
6000,,0.0000070591,0.0000094974,0.0000058256,0.0000101326,0.0000628724,0.0001309898,0.0000096544,0.0000084179,0.0000000000,0.0000149030,
6100,,0.0000076069,0.0000096026,0.0000057654,0.0000100728,0.0000631848,0.0001333352,0.0000092280,0.0000083333,0.0000000000,0.0000147650,
6200,,0.0000073263,0.0000088998,0.0000058347,0.0000097002,0.0000633563,0.0001317495,0.0000089794,0.0000083069,0.0000000000,0.0000145988,
6300,,0.0000071998,0.0000083361,0.0000056635,0.0000087971,0.0000640924,0.0001298145,0.0000089397,0.0000083327,0.0000000000,0.0000142920,
6400,,0.0000067062,0.0000076522,0.0000053713,0.0000083893,0.0000646788,0.0001283674,0.0000086419,0.0000081227,0.0000000000,0.0000141364,
6500,,0.0000065177,0.0000076905,0.0000051858,0.0000083501,0.0000637284,0.0001292615,0.0000083640,0.0000078051,0.0000000000,0.0000138540,
6600,,0.0000065504,0.0000074336,0.0000053509,0.0000089001,0.0000640663,0.0001290037,0.0000078047,0.0000075683,0.0000000000,0.0000132700,
6700,,0.0000067873,0.0000069203,0.0000052489,0.0000084466,0.0000654472,0.0001286377,0.0000075760,0.0000076470,0.0000000000,0.0000135983,
6800,,0.0000063428,0.0000065475,0.0000047356,0.0000085310,0.0000649879,0.0001274635,0.0000073175,0.0000074112,0.0000000000,0.0000134330,
6900,,0.0000062027,0.0000063142,0.0000045876,0.0000084687,0.0000656530,0.0001286381,0.0000073600,0.0000077887,0.0000000000,0.0000134746,
7000,,0.0000067013,0.0000065983,0.0000045241,0.0000087386,0.0000650328,0.0001264498,0.0000074551,0.0000073415,0.0000000000,0.0000132866,
7100,,0.0000066666,0.0000066015,0.0000046501,0.0000079691,0.0000652058,0.0001260693,0.0000075020,0.0000076604,0.0000000000,0.0000127655,
7200,,0.0000064546,0.0000064620,0.0000047170,0.0000075255,0.0000653284,0.0001265649,0.0000071784,0.0000076442,0.0000000000,0.0000121249,
7300,,0.0000063064,0.0000069412,0.0000048274,0.0000076359,0.0000652334,0.0001278298,0.0000070335,0.0000078808,0.0000000000,0.0000113467,
7400,,0.0000063366,0.0000070095,0.0000050180,0.0000073480,0.0000650832,0.0001291597,0.0000069281,0.0000079119,0.0000000000,0.0000107211,
7500,,0.0000059471,0.0000068839,0.0000049752,0.0000072390,0.0000640341,0.0001284455,0.0000069169,0.0000078868,0.0000000000,0.0000106171,
7600,,0.0000058497,0.0000064491,0.0000046025,0.0000071907,0.0000631026,0.0001280430,0.0000066650,0.0000078179,0.0000000000,0.0000101280,
7700,,0.0000058307,0.0000063431,0.0000046367,0.0000073237,0.0000631628,0.0001260188,0.0000065106,0.0000078886,0.0000000000,0.0000101584,
7800,,0.0000055140,0.0000065798,0.0000046766,0.0000071673,0.0000638323,0.0001235134,0.0000063342,0.0000076735,0.0000000000,0.0000101658,
7900,,0.0000056511,0.0000068026,0.0000047543,0.0000072538,0.0000639543,0.0001226351,0.0000059310,0.0000073778,0.0000000000,0.0000102282,
8000,,0.0000056587,0.0000068575,0.0000047623,0.0000074527,0.0000641819,0.0001231943,0.0000058874,0.0000074515,0.0000000000,0.0000100104,
8100,,0.0000059492,0.0000067286,0.0000050328,0.0000074982,0.0000644896,0.0001214849,0.0000059517,0.0000073059,0.0000000000,0.0000098576,
8200,,0.0000059394,0.0000064120,0.0000049045,0.0000073865,0.0000655541,0.0001200383,0.0000058960,0.0000071990,0.0000000000,0.0000100783,
8300,,0.0000061812,0.0000061393,0.0000047043,0.0000073483,0.0000645492,0.0001182084,0.0000058634,0.0000071809,0.0000000000,0.0000099010,
8400,,0.0000064093,0.0000059144,0.0000047409,0.0000075704,0.0000640461,0.0001170552,0.0000055035,0.0000068810,0.0000000000,0.0000099931,
8500,,0.0000065342,0.0000063472,0.0000048597,0.0000079971,0.0000644187,0.0001175536,0.0000054770,0.0000067904,0.0000000000,0.0000101526,
8600,,0.0000068563,0.0000066542,0.0000053525,0.0000080914,0.0000649327,0.0001187597,0.0000052774,0.0000068153,0.0000000000,0.0000095767,
8700,,0.0000069697,0.0000068705,0.0000055553,0.0000080534,0.0000657824,0.0001182611,0.0000052705,0.0000067181,0.0000000000,0.0000091755,
8800,,0.0000067850,0.0000067946,0.0000053462,0.0000083422,0.0000661569,0.0001187453,0.0000051341,0.0000068879,0.0000000000,0.0000092391,
8900,,0.0000067928,0.0000070328,0.0000053684,0.0000088393,0.0000664919,0.0001191064,0.0000048897,0.0000068074,0.0000000000,0.0000095357,
9000,,0.0000067063,0.0000072465,0.0000054042,0.0000084731,0.0000678435,0.0001189992,0.0000048711,0.0000067530,0.0000000000,0.0000097174,
9100,,0.0000067612,0.0000070221,0.0000052254,0.0000083199,0.0000690032,0.0001203550,0.0000047715,0.0000066961,0.0000000000,0.0000103167,
9200,,0.0000070998,0.0000067780,0.0000053682,0.0000089135,0.0000693881,0.0001214835,0.0000046391,0.0000065746,0.0000000000,0.0000099566,
9300,,0.0000073906,0.0000071654,0.0000056626,0.0000088204,0.0000694271,0.0001216443,0.0000043709,0.0000063389,0.0000000000,0.0000096995,
9400,,0.0000078038,0.0000078288,0.0000060391,0.0000093135,0.0000693531,0.0001225830,0.0000041775,0.0000063863,0.0000000000,0.0000094548,
9500,,0.0000078918,0.0000085707,0.0000063188,0.0000091674,0.0000691117,0.0001226130,0.0000043078,0.0000063817,0.0000000000,0.0000093020,
9600,,0.0000076959,0.0000090759,0.0000065159,0.0000089799,0.0000693432,0.0001221057,0.0000042821,0.0000063940,0.0000000000,0.0000097566,
9700,,0.0000075332,0.0000093414,0.0000064145,0.0000090272,0.0000698685,0.0001232047,0.0000042166,0.0000064204,0.0000000000,0.0000098422,
9800,,0.0000072503,0.0000092699,0.0000063986,0.0000094197,0.0000696750,0.0001227588,0.0000041528,0.0000062122,0.0000000000,0.0000095444,
9900,,0.0000073703,0.0000096684,0.0000069038,0.0000099290,0.0000697542,0.0001224672,0.0000040650,0.0000059981,0.0000000000,0.0000095960,
10000,,0.0000077239,0.0000097890,0.0000074062,0.0000101221,0.0000709487,0.0001232296,0.0000040152,0.0000058534,0.0000000000,0.0000095383,
10100,,0.0000076612,0.0000102862,0.0000077921,0.0000101290,0.0000720260,0.0001236180,0.0000037814,0.0000058458,0.0000000000,0.0000091402,
10200,,0.0000071971,0.0000107973,0.0000077883,0.0000103823,0.0000723439,0.0001244914,0.0000037915,0.0000057516,0.0000000000,0.0000092634,
10300,,0.0000071168,0.0000110533,0.0000077482,0.0000105933,0.0000732691,0.0001253183,0.0000037209,0.0000056451,0.0000000000,0.0000093199,
10400,,0.0000065716,0.0000111764,0.0000076749,0.0000106650,0.0000743182,0.0001260306,0.0000036910,0.0000058994,0.0000000000,0.0000095104,
10500,,0.0000063712,0.0000115365,0.0000076913,0.0000108518,0.0000753919,0.0001259971,0.0000033478,0.0000057640,0.0000000000,0.0000095201,
10600,,0.0000062637,0.0000110146,0.0000077243,0.0000109976,0.0000760179,0.0001275956,0.0000032862,0.0000055554,0.0000000000,0.0000096322,
10700,,0.0000060669,0.0000113826,0.0000074807,0.0000110523,0.0000757674,0.0001277952,0.0000032543,0.0000055901,0.0000000000,0.0000098078,
10800,,0.0000059495,0.0000112633,0.0000073914,0.0000107489,0.0000760486,0.0001272895,0.0000033573,0.0000052626,0.0000000000,0.0000100178,
10900,,0.0000058333,0.0000110110,0.0000071862,0.0000109449,0.0000754152,0.0001285296,0.0000032921,0.0000053458,0.0000000000,0.0000097171,
11000,,0.0000055337,0.0000109283,0.0000070079,0.0000106592,0.0000755393,0.0001284533,0.0000032211,0.0000052011,0.0000000000,0.0000096630,
11100,,0.0000056317,0.0000106597,0.0000068700,0.0000105085,0.0000751688,0.0001283763,0.0000030752,0.0000051290,0.0000000000,0.0000099288,
11200,,0.0000053973,0.0000106917,0.0000068909,0.0000102724,0.0000747070,0.0001281701,0.0000031153,0.0000046988,0.0000000000,0.0000093213,
11300,,0.0000054188,0.0000106750,0.0000069677,0.0000103098,0.0000753252,0.0001285318,0.0000031387,0.0000047504,0.0000000000,0.0000093888,
11400,,0.0000053029,0.0000109550,0.0000067340,0.0000099958,0.0000744049,0.0001278519,0.0000032429,0.0000047280,0.0000000000,0.0000090925,
11500,,0.0000054482,0.0000106488,0.0000064479,0.0000096304,0.0000738079,0.0001263295,0.0000031195,0.0000046533,0.0000000000,0.0000094986,
11600,,0.0000055372,0.0000101417,0.0000062878,0.0000094377,0.0000734355,0.0001254617,0.0000031566,0.0000045897,0.0000000000,0.0000098427,
11700,,0.0000055546,0.0000099008,0.0000061923,0.0000091695,0.0000726050,0.0001261222,0.0000031147,0.0000044890,0.0000000000,0.0000098012,
11800,,0.0000053191,0.0000097524,0.0000058185,0.0000094145,0.0000723548,0.0001249636,0.0000031496,0.0000045253,0.0000000000,0.0000097768,
11900,,0.0000050300,0.0000095758,0.0000056780,0.0000097644,0.0000720201,0.0001234704,0.0000030828,0.0000044887,0.0000000000,0.0000096805,
12000,,0.0000049833,0.0000093337,0.0000056615,0.0000096534,0.0000725451,0.0001244238,0.0000031343,0.0000044704,0.0000000000,0.0000097263,
12100,,0.0000049373,0.0000089081,0.0000056922,0.0000098480,0.0000720352,0.0001246137,0.0000030787,0.0000042827,0.0000000000,0.0000099917,
12200,,0.0000047675,0.0000089273,0.0000055704,0.0000096541,0.0000716731,0.0001246788,0.0000031037,0.0000043317,0.0000000000,0.0000098413,
12300,,0.0000046503,0.0000086820,0.0000052965,0.0000096032,0.0000716762,0.0001244673,0.0000030730,0.0000042520,0.0000000000,0.0000100835,
12400,,0.0000045338,0.0000081792,0.0000051364,0.0000101317,0.0000712146,0.0001243765,0.0000030036,0.0000043386,0.0000000000,0.0000097961,
12500,,0.0000044392,0.0000078836,0.0000049947,0.0000100316,0.0000703847,0.0001227846,0.0000030590,0.0000042580,0.0000000000,0.0000098553,
12600,,0.0000043851,0.0000076419,0.0000047817,0.0000101148,0.0000699862,0.0001224056,0.0000029596,0.0000041560,0.0000000000,0.0000097043,
12700,,0.0000043028,0.0000072606,0.0000046807,0.0000103266,0.0000704751,0.0001221469,0.0000028448,0.0000039812,0.0000000000,0.0000097118,
12800,,0.0000041980,0.0000071604,0.0000043419,0.0000103778,0.0000704847,0.0001227280,0.0000029404,0.0000038833,0.0000000000,0.0000100091,
12900,,0.0000039854,0.0000067325,0.0000041781,0.0000101146,0.0000705448,0.0001233484,0.0000029251,0.0000036961,0.0000000000,0.0000099938,
13000,,0.0000039049,0.0000064474,0.0000039303,0.0000102249,0.0000706958,0.0001230043,0.0000030492,0.0000036543,0.0000000000,0.0000099391,
13100,,0.0000038133,0.0000058491,0.0000037044,0.0000106458,0.0000708648,0.0001229446,0.0000030550,0.0000037383,0.0000000000,0.0000098682,
13200,,0.0000036946,0.0000056871,0.0000034279,0.0000107339,0.0000702446,0.0001232038,0.0000030359,0.0000037256,0.0000000000,0.0000100351,
13300,,0.0000035918,0.0000053916,0.0000033105,0.0000109662,0.0000703757,0.0001232554,0.0000030302,0.0000036977,0.0000000000,0.0000098856,
13400,,0.0000036197,0.0000052695,0.0000032818,0.0000108271,0.0000710476,0.0001230032,0.0000029923,0.0000037821,0.0000000000,0.0000098509,
13500,,0.0000035340,0.0000051422,0.0000033805,0.0000108424,0.0000707526,0.0001223473,0.0000030770,0.0000036987,0.0000000000,0.0000095854,
13600,,0.0000034947,0.0000053728,0.0000034732,0.0000109609,0.0000704717,0.0001219373,0.0000030035,0.0000036164,0.0000000000,0.0000095020,
13700,,0.0000035583,0.0000054403,0.0000035022,0.0000112887,0.0000709703,0.0001217448,0.0000028486,0.0000035628,0.0000000000,0.0000096850,
13800,,0.0000036232,0.0000054756,0.0000036327,0.0000112170,0.0000707699,0.0001216135,0.0000027791,0.0000035688,0.0000000000,0.0000097106,
13900,,0.0000036747,0.0000053365,0.0000037764,0.0000105952,0.0000703459,0.0001212480,0.0000027080,0.0000035431,0.0000000000,0.0000095076,
14000,,0.0000037689,0.0000052750,0.0000039226,0.0000104722,0.0000700060,0.0001209839,0.0000027216,0.0000036303,0.0000000000,0.0000092308,
14100,,0.0000038802,0.0000054847,0.0000040350,0.0000105035,0.0000697056,0.0001198847,0.0000027808,0.0000035788,0.0000000000,0.0000090087,
14200,,0.0000039434,0.0000054807,0.0000041629,0.0000107697,0.0000699938,0.0001196257,0.0000028707,0.0000034859,0.0000000000,0.0000091145,
14300,,0.0000039063,0.0000055376,0.0000040972,0.0000111058,0.0000706835,0.0001185375,0.0000028014,0.0000033966,0.0000000000,0.0000088254,
14400,,0.0000037782,0.0000057119,0.0000041726,0.0000112545,0.0000709105,0.0001179769,0.0000027366,0.0000034075,0.0000000000,0.0000089587,
14500,,0.0000037647,0.0000058665,0.0000041463,0.0000111289,0.0000703134,0.0001180878,0.0000027158,0.0000033182,0.0000000000,0.0000087441,
14600,,0.0000036579,0.0000058886,0.0000040590,0.0000108647,0.0000702784,0.0001172261,0.0000027281,0.0000032021,0.0000000000,0.0000087142,
14700,,0.0000036763,0.0000055307,0.0000040516,0.0000107683,0.0000700360,0.0001163130,0.0000027385,0.0000031899,0.0000000000,0.0000088624,
14800,,0.0000036000,0.0000055423,0.0000040619,0.0000107220,0.0000690388,0.0001163029,0.0000026742,0.0000031021,0.0000000000,0.0000088576,
14900,,0.0000035495,0.0000052820,0.0000040568,0.0000109413,0.0000692124,0.0001163929,0.0000026831,0.0000031144,0.0000000000,0.0000089847,
15000,,0.0000035424,0.0000052680,0.0000040302,0.0000108214,0.0000693508,0.0001165021,0.0000026535,0.0000030772,0.0000000000,0.0000087546,
15100,,0.0000033737,0.0000050371,0.0000039440,0.0000110428,0.0000691708,0.0001162257,0.0000026609,0.0000031365,0.0000000000,0.0000088984,
15200,,0.0000031331,0.0000049294,0.0000038258,0.0000108613,0.0000686859,0.0001160097,0.0000026972,0.0000031618,0.0000000000,0.0000086646,
15300,,0.0000031167,0.0000049455,0.0000036942,0.0000108255,0.0000691717,0.0001165160,0.0000026587,0.0000031878,0.0000000000,0.0000086583,
15400,,0.0000030071,0.0000049216,0.0000037627,0.0000109080,0.0000691492,0.0001172325,0.0000026537,0.0000032625,0.0000000000,0.0000084580,
15500,,0.0000029809,0.0000050635,0.0000037603,0.0000110524,0.0000696178,0.0001170487,0.0000026866,0.0000032509,0.0000000000,0.0000085131,
15600,,0.0000030430,0.0000050724,0.0000038517,0.0000109806,0.0000699649,0.0001164470,0.0000026757,0.0000032024,0.0000000000,0.0000084943,
15700,,0.0000030197,0.0000049903,0.0000039410,0.0000111918,0.0000695437,0.0001162188,0.0000027029,0.0000031798,0.0000000000,0.0000084572,
15800,,0.0000028837,0.0000048942,0.0000038462,0.0000115486,0.0000694033,0.0001165565,0.0000027297,0.0000031695,0.0000000000,0.0000082187,
15900,,0.0000028128,0.0000048968,0.0000038706,0.0000117575,0.0000692978,0.0001161764,0.0000026969,0.0000031664,0.0000000000,0.0000080996,
16000,,0.0000028598,0.0000047949,0.0000038661,0.0000116358,0.0000694817,0.0001153453,0.0000027161,0.0000030714,0.0000000000,0.0000080986,
16100,,0.0000028101,0.0000047601,0.0000038212,0.0000114649,0.0000689600,0.0001147354,0.0000026838,0.0000030955,0.0000000000,0.0000081498,
16200,,0.0000027739,0.0000047697,0.0000037802,0.0000114877,0.0000684401,0.0001137343,0.0000026662,0.0000030616,0.0000000000,0.0000083688,
16300,,0.0000027751,0.0000048690,0.0000037265,0.0000115361,0.0000681803,0.0001132013,0.0000026465,0.0000029894,0.0000000000,0.0000082114,
16400,,0.0000028486,0.0000050010,0.0000036263,0.0000116597,0.0000677003,0.0001126181,0.0000026265,0.0000030589,0.0000000000,0.0000081975,
16500,,0.0000028415,0.0000049601,0.0000036763,0.0000116152,0.0000678847,0.0001122539,0.0000026283,0.0000030823,0.0000000000,0.0000081852,
16600,,0.0000027115,0.0000048438,0.0000035714,0.0000116172,0.0000670610,0.0001121181,0.0000027266,0.0000029833,0.0000000000,0.0000082751,
16700,,0.0000026154,0.0000047972,0.0000035244,0.0000117688,0.0000672712,0.0001116050,0.0000027162,0.0000029518,0.0000000000,0.0000083336,
16800,,0.0000025645,0.0000049220,0.0000035150,0.0000118186,0.0000671046,0.0001113701,0.0000027169,0.0000029128,0.0000000000,0.0000085189,
16900,,0.0000025437,0.0000050644,0.0000033793,0.0000120456,0.0000672879,0.0001118469,0.0000026493,0.0000028731,0.0000000000,0.0000084535,
17000,,0.0000025852,0.0000049978,0.0000034307,0.0000121006,0.0000672299,0.0001119826,0.0000026357,0.0000028088,0.0000000000,0.0000083953,
17100,,0.0000025608,0.0000048849,0.0000034669,0.0000121720,0.0000666277,0.0001115949,0.0000026369,0.0000027887,0.0000000000,0.0000084098,
17200,,0.0000025917,0.0000047043,0.0000034466,0.0000122299,0.0000665451,0.0001117784,0.0000026382,0.0000027704,0.0000000000,0.0000080922,
17300,,0.0000025963,0.0000043405,0.0000033433,0.0000122692,0.0000657011,0.0001120069,0.0000026039,0.0000029029,0.0000000000,0.0000082673,
17400,,0.0000025804,0.0000039600,0.0000032360,0.0000119632,0.0000647364,0.0001115761,0.0000025850,0.0000028635,0.0000000000,0.0000084015,
17500,,0.0000024859,0.0000038129,0.0000031451,0.0000120281,0.0000645738,0.0001110740,0.0000026145,0.0000028071,0.0000000000,0.0000085038,
17600,,0.0000025006,0.0000038217,0.0000031320,0.0000119978,0.0000644649,0.0001099798,0.0000025839,0.0000027296,0.0000000000,0.0000085847,
17700,,0.0000025512,0.0000036104,0.0000030000,0.0000120117,0.0000643645,0.0001098674,0.0000025780,0.0000026883,0.0000000000,0.0000084844,
17800,,0.0000025417,0.0000035664,0.0000029531,0.0000118834,0.0000641460,0.0001099709,0.0000025936,0.0000027707,0.0000000000,0.0000084825,
17900,,0.0000025735,0.0000034581,0.0000029536,0.0000119072,0.0000635636,0.0001100796,0.0000025770,0.0000027020,0.0000000000,0.0000085788,
18000,,0.0000025946,0.0000033963,0.0000029671,0.0000120144,0.0000633317,0.0001106824,0.0000025745,0.0000027260,0.0000000000,0.0000087334,
18100,,0.0000026632,0.0000032637,0.0000029772,0.0000118691,0.0000632024,0.0001106709,0.0000026139,0.0000027709,0.0000000000,0.0000085106,
18200,,0.0000026929,0.0000031474,0.0000029379,0.0000118129,0.0000626731,0.0001112208,0.0000026137,0.0000027540,0.0000000000,0.0000085068,
18300,,0.0000026773,0.0000030877,0.0000028652,0.0000116841,0.0000623879,0.0001110730,0.0000026103,0.0000026803,0.0000000000,0.0000086179,
18400,,0.0000026712,0.0000029493,0.0000028990,0.0000117768,0.0000620715,0.0001111753,0.0000026397,0.0000026360,0.0000000000,0.0000084938,
