1	12925945	1
13	8201750	0.634518404650492
14	8201723	0.634516315828359
15	6427833	0.497281475358281
18	6283408	0.486108211043757
16	6242954	0.48297853657895
17	5656244	0.437588431638847
19	4661729	0.360648989300202
23	4498916	0.348053159749635
29	3897846	0.301552110890152
25	3688065	0.285322659194357
27	3422509	0.264778242519212
22	3363165	0.260187166199454
21	3363165	0.260187166199454
24	3360031	0.259944708104514
26	2722344	0.210610829614392
30	2692995	0.20834027995632
45	2549593	0.197246158791485
35	2534995	0.196116802291825
12	2435388	0.188410827989752
32	2250517	0.174108508120683
11	2214756	0.171341901888024
36	2040420	0.157854609469559
20	1861673	0.144026065405663
44	1786467	0.138207844764928
33	1693109	0.130985316740865
43	1520141	0.117603857977115
40	1384362	0.1070994809277
39	1315451	0.101768265298978
